company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiLSTM,multiclass,1,0.09995084329180438,0.109375,0.007891658693552017,,,,0.06129747604081894,0.5675675675675675,0.45652173913043476,0.75,0.5,1193,398,42,64,20,"[[0, 1, 1, 2, 0, 3], [2, 1, 1, 4, 6, 5], [0, 3, 2, 2, 0, 3], [1, 0, 2, 1, 1, 3], [0, 1, 3, 3, 3, 5], [0, 0, 0, 3, 2, 0]]","[[0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.0, 0.42857142857142855], [0.10526315789473684, 0.05263157894736842, 0.05263157894736842, 0.21052631578947367, 0.3157894736842105, 0.2631578947368421], [0.0, 0.3, 0.2, 0.2, 0.0, 0.3], [0.125, 0.0, 0.25, 0.125, 0.125, 0.375], [0.0, 0.06666666666666667, 0.2, 0.2, 0.2, 0.3333333333333333], [0.0, 0.0, 0.0, 0.6, 0.4, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABB,Industrial Goods,BiLSTM,multiclass,1,0.13595947063688998,0.203125,-0.004333317279815674,,,,0.14547859349066158,0.4230769230769231,0.6875,0.3055555555555556,0.53125,1193,398,42,64,20,"[[0, 0, 3, 0, 0, 0], [2, 4, 8, 5, 0, 0], [0, 1, 5, 0, 0, 0], [1, 2, 8, 4, 0, 0], [4, 0, 9, 6, 0, 0], [0, 0, 1, 1, 0, 0]]","[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.10526315789473684, 0.21052631578947367, 0.42105263157894735, 0.2631578947368421, 0.0, 0.0], [0.0, 0.16666666666666666, 0.8333333333333334, 0.0, 0.0, 0.0], [0.06666666666666667, 0.13333333333333333, 0.5333333333333333, 0.26666666666666666, 0.0, 0.0], [0.21052631578947367, 0.0, 0.47368421052631576, 0.3157894736842105, 0.0, 0.0], [0.0, 0.0, 0.5, 0.5, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABBV,Healthcare,BiLSTM,multiclass,1,0.0730784547988849,0.171875,0.01972927525639534,,,,-0.11834526708278773,0.6804123711340206,0.5238095238095238,0.9705882352941176,0.515625,1112,398,42,64,20,"[[0, 0, 0, 1, 1, 9], [0, 0, 0, 2, 3, 10], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 4], [0, 0, 1, 0, 2, 16], [0, 0, 0, 0, 1, 9]]","[[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.8181818181818182], [0.0, 0.0, 0.0, 0.13333333333333333, 0.2, 0.6666666666666666], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.2, 0.8], [0.0, 0.0, 0.05263157894736842, 0.0, 0.10526315789473684, 0.8421052631578947], [0.0, 0.0, 0.0, 0.0, 0.1, 0.9]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AEP,Utilities,BiLSTM,multiclass,1,0.14449620427881296,0.171875,-0.004395429044961929,,,,-0.04351259372329707,0.4262295081967213,0.5652173913043478,0.34210526315789475,0.453125,1193,398,42,64,20,"[[1, 1, 1, 1, 1, 0], [1, 5, 2, 2, 0, 0], [2, 2, 1, 0, 5, 1], [10, 2, 1, 0, 1, 1], [4, 3, 3, 1, 4, 4], [0, 0, 2, 0, 2, 0]]","[[0.2, 0.2, 0.2, 0.2, 0.2, 0.0], [0.1, 0.5, 0.2, 0.2, 0.0, 0.0], [0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.0, 0.45454545454545453, 0.09090909090909091], [0.6666666666666666, 0.13333333333333333, 0.06666666666666667, 0.0, 0.06666666666666667, 0.06666666666666667], [0.21052631578947367, 0.15789473684210525, 0.15789473684210525, 0.05263157894736842, 0.21052631578947367, 0.21052631578947367], [0.0, 0.0, 0.5, 0.0, 0.5, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AGFS,Conglomerates,BiLSTM,multiclass,1,0.13369450195537153,0.171875,0.0002863050904124975,,,,-0.23986050827053684,0.18181818181818182,0.21052631578947367,0.16,0.4375,636,110,42,64,20,"[[5, 4, 1, 4, 1, 0], [4, 2, 3, 0, 2, 1], [3, 0, 2, 1, 4, 2], [1, 0, 1, 0, 0, 0], [5, 1, 3, 0, 2, 0], [3, 4, 3, 1, 1, 0]]","[[0.3333333333333333, 0.26666666666666666, 0.06666666666666667, 0.26666666666666666, 0.06666666666666667, 0.0], [0.3333333333333333, 0.16666666666666666, 0.25, 0.0, 0.16666666666666666, 0.08333333333333333], [0.25, 0.0, 0.16666666666666666, 0.08333333333333333, 0.3333333333333333, 0.16666666666666666], [0.5, 0.0, 0.5, 0.0, 0.0, 0.0], [0.45454545454545453, 0.09090909090909091, 0.2727272727272727, 0.0, 0.18181818181818182, 0.0], [0.25, 0.3333333333333333, 0.25, 0.08333333333333333, 0.08333333333333333, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMGN,Healthcare,BiLSTM,multiclass,1,0.24586917562724012,0.234375,-0.0022138578351587057,,,,0.2277100170213244,0.5666666666666667,0.7083333333333334,0.4722222222222222,0.59375,1193,398,42,64,20,"[[3, 1, 0, 0, 0, 2], [7, 1, 5, 2, 0, 1], [1, 0, 3, 0, 1, 1], [4, 0, 0, 2, 2, 1], [9, 0, 1, 1, 3, 3], [1, 3, 1, 0, 2, 3]]","[[0.5, 0.16666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333], [0.4375, 0.0625, 0.3125, 0.125, 0.0, 0.0625], [0.16666666666666666, 0.0, 0.5, 0.0, 0.16666666666666666, 0.16666666666666666], [0.4444444444444444, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111], [0.5294117647058824, 0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413], [0.1, 0.3, 0.1, 0.0, 0.2, 0.3]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMZN,Services,BiLSTM,multiclass,1,0.08078958078958079,0.171875,-0.0061882492154836655,,,,0.0,0.0,0.0,0.0,0.453125,1193,398,42,64,20,"[[0, 1, 3, 0, 0, 0], [0, 3, 12, 0, 0, 0], [0, 2, 8, 0, 0, 0], [0, 0, 6, 0, 0, 0], [0, 3, 14, 0, 0, 0], [0, 2, 10, 0, 0, 0]]","[[0.0, 0.25, 0.75, 0.0, 0.0, 0.0], [0.0, 0.2, 0.8, 0.0, 0.0, 0.0], [0.0, 0.2, 0.8, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.17647058823529413, 0.8235294117647058, 0.0, 0.0, 0.0], [0.0, 0.16666666666666666, 0.8333333333333334, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BA,Industrial Goods,BiLSTM,multiclass,1,0.1491896658563325,0.1875,-0.004851333796977997,,,,0.35543622261606295,0.52,0.8666666666666667,0.37142857142857144,0.625,1193,398,42,64,20,"[[1, 2, 1, 0, 0, 0], [6, 5, 2, 0, 1, 0], [4, 5, 1, 0, 1, 0], [1, 6, 1, 1, 0, 1], [4, 4, 2, 4, 4, 3], [1, 1, 2, 0, 0, 0]]","[[0.25, 0.5, 0.25, 0.0, 0.0, 0.0], [0.42857142857142855, 0.35714285714285715, 0.14285714285714285, 0.0, 0.07142857142857142, 0.0], [0.36363636363636365, 0.45454545454545453, 0.09090909090909091, 0.0, 0.09090909090909091, 0.0], [0.1, 0.6, 0.1, 0.1, 0.0, 0.1], [0.19047619047619047, 0.19047619047619047, 0.09523809523809523, 0.19047619047619047, 0.19047619047619047, 0.14285714285714285], [0.25, 0.25, 0.5, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BABA,Services,BiLSTM,multiclass,1,0.11316492916332531,0.1875,-0.011279420927166939,,,,0.21494115924458687,0.16666666666666666,1.0,0.09090909090909091,0.53125,680,154,42,64,20,"[[3, 3, 1, 0, 0, 0], [6, 8, 1, 0, 0, 0], [4, 4, 1, 0, 0, 0], [2, 1, 1, 0, 0, 0], [4, 5, 2, 1, 0, 0], [3, 7, 5, 2, 0, 0]]","[[0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.0, 0.0, 0.0], [0.4, 0.5333333333333333, 0.06666666666666667, 0.0, 0.0, 0.0], [0.4444444444444444, 0.4444444444444444, 0.1111111111111111, 0.0, 0.0, 0.0], [0.5, 0.25, 0.25, 0.0, 0.0, 0.0], [0.3333333333333333, 0.4166666666666667, 0.16666666666666666, 0.08333333333333333, 0.0, 0.0], [0.17647058823529413, 0.4117647058823529, 0.29411764705882354, 0.11764705882352941, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BAC,Financial,BiLSTM,multiclass,1,0.27678571428571425,0.28125,0.00013248261529952288,,,,0.2393322795582759,0.5714285714285714,0.5517241379310345,0.5925925925925926,0.625,1193,398,42,64,20,"[[2, 1, 1, 1, 0, 0], [4, 6, 5, 2, 1, 2], [3, 1, 1, 2, 2, 3], [0, 1, 0, 2, 1, 1], [1, 3, 3, 1, 3, 2], [1, 0, 2, 1, 1, 4]]","[[0.4, 0.2, 0.2, 0.2, 0.0, 0.0], [0.2, 0.3, 0.25, 0.1, 0.05, 0.1], [0.25, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.25], [0.0, 0.2, 0.0, 0.4, 0.2, 0.2], [0.07692307692307693, 0.23076923076923078, 0.23076923076923078, 0.07692307692307693, 0.23076923076923078, 0.15384615384615385], [0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.4444444444444444]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BBL,Basic Matierials,BiLSTM,multiclass,1,0.0796950796950797,0.203125,0.026639854535460472,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,1193,398,42,64,20,"[[0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 12], [0, 0, 0, 1, 0, 6], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 11], [0, 0, 0, 0, 0, 12]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.8571428571428571], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.9166666666666666], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BCH,Financial,BiLSTM,multiclass,1,0.041507024265644954,0.078125,0.015693629160523415,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,1193,398,42,64,20,"[[0, 0, 0, 0, 1, 3], [0, 0, 0, 0, 4, 16], [0, 0, 0, 0, 3, 10], [0, 0, 0, 0, 3, 5], [0, 0, 0, 0, 2, 14], [0, 0, 0, 0, 0, 3]]","[[0.0, 0.0, 0.0, 0.0, 0.25, 0.75], [0.0, 0.0, 0.0, 0.0, 0.2, 0.8], [0.0, 0.0, 0.0, 0.0, 0.23076923076923078, 0.7692307692307693], [0.0, 0.0, 0.0, 0.0, 0.375, 0.625], [0.0, 0.0, 0.0, 0.0, 0.125, 0.875], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BHP,Basic Matierials,BiLSTM,multiclass,1,0.09288135593220338,0.171875,0.019528627395629883,,,,0.04656656301892605,0.6067415730337079,0.4426229508196721,0.9642857142857143,0.453125,1193,398,42,64,20,"[[0, 0, 1, 1, 0, 15], [0, 0, 1, 1, 1, 12], [0, 0, 0, 2, 0, 2], [0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 4, 15], [0, 1, 0, 0, 0, 7]]","[[0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.0, 0.8823529411764706], [0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.8], [0.0, 0.0, 0.0, 0.5, 0.0, 0.5], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.05, 0.2, 0.75], [0.0, 0.125, 0.0, 0.0, 0.0, 0.875]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BP,Basic Matierials,BiLSTM,multiclass,1,0.21506271506271504,0.25,0.0068719699047505856,,,,0.18367958959266126,0.5945945945945946,0.4583333333333333,0.8461538461538461,0.53125,1193,398,42,64,20,"[[0, 3, 0, 1, 1, 3], [0, 3, 2, 2, 7, 5], [0, 3, 1, 0, 5, 2], [0, 0, 0, 2, 3, 1], [0, 1, 0, 0, 6, 2], [1, 1, 1, 2, 2, 4]]","[[0.0, 0.375, 0.0, 0.125, 0.125, 0.375], [0.0, 0.15789473684210525, 0.10526315789473684, 0.10526315789473684, 0.3684210526315789, 0.2631578947368421], [0.0, 0.2727272727272727, 0.09090909090909091, 0.0, 0.45454545454545453, 0.18181818181818182], [0.0, 0.0, 0.0, 0.3333333333333333, 0.5, 0.16666666666666666], [0.0, 0.1111111111111111, 0.0, 0.0, 0.6666666666666666, 0.2222222222222222], [0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BRK-A,Financial,BiLSTM,multiclass,1,0.07589908749329038,0.109375,0.014686825685203075,,,,0.04656656301892605,0.6067415730337079,0.4426229508196721,0.9642857142857143,0.453125,1193,398,42,64,20,"[[0, 0, 0, 0, 0, 2], [0, 0, 1, 4, 6, 11], [0, 0, 1, 0, 3, 8], [0, 0, 0, 0, 3, 8], [0, 0, 1, 1, 2, 9], [0, 0, 0, 0, 0, 4]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.045454545454545456, 0.18181818181818182, 0.2727272727272727, 0.5], [0.0, 0.0, 0.08333333333333333, 0.0, 0.25, 0.6666666666666666], [0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.7272727272727273], [0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.6923076923076923], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
