company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,GRU,multiclass,1,0.07886614684860298,0.125,0.0028143548406660557,,,,-0.15231225557722924,0.3333333333333333,0.34615384615384615,0.32142857142857145,0.4375,1198,398,42,64,16,"[[0, 0, 3, 0, 2, 2], [0, 1, 7, 5, 4, 2], [0, 2, 6, 0, 1, 1], [0, 2, 4, 0, 1, 1], [2, 2, 6, 1, 1, 3], [0, 1, 2, 2, 0, 0]]","[[0.0, 0.0, 0.42857142857142855, 0.0, 0.2857142857142857, 0.2857142857142857], [0.0, 0.05263157894736842, 0.3684210526315789, 0.2631578947368421, 0.21052631578947367, 0.10526315789473684], [0.0, 0.2, 0.6, 0.0, 0.1, 0.1], [0.0, 0.25, 0.5, 0.0, 0.125, 0.125], [0.13333333333333333, 0.13333333333333333, 0.4, 0.06666666666666667, 0.06666666666666667, 0.2], [0.0, 0.2, 0.4, 0.4, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6500356793403625, 0.6186957359313965, 0.5873557925224304, 0.46199604868888855, 0.30529630184173584]"
ABB,Industrial Goods,GRU,multiclass,1,0.07788204361031778,0.125,0.007825551554560661,,,,-0.1111111111111111,0.7070707070707071,0.5555555555555556,0.9722222222222222,0.546875,1198,398,42,64,16,"[[0, 0, 0, 0, 2, 1], [0, 0, 0, 1, 5, 13], [0, 0, 0, 0, 3, 3], [0, 0, 0, 1, 4, 10], [0, 1, 0, 1, 5, 12], [0, 0, 0, 0, 0, 2]]","[[0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333], [0.0, 0.0, 0.0, 0.05263157894736842, 0.2631578947368421, 0.6842105263157895], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.0, 0.0, 0.0, 0.06666666666666667, 0.26666666666666666, 0.6666666666666666], [0.0, 0.05263157894736842, 0.0, 0.05263157894736842, 0.2631578947368421, 0.631578947368421], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6186957359313965, 0.5873557925224304, 0.5560158491134644, 0.5246759057044983, 0.4933359920978546]"
ABBV,Healthcare,GRU,multiclass,1,0.11133069828722003,0.234375,0.0119005823507905,,,,0.0,0.6938775510204082,0.53125,1.0,0.53125,1117,398,42,64,16,"[[0, 0, 0, 0, 5, 6], [0, 0, 0, 1, 8, 6], [0, 0, 0, 1, 3, 0], [0, 0, 0, 0, 2, 3], [0, 0, 0, 1, 7, 11], [0, 0, 0, 0, 2, 8]]","[[0.0, 0.0, 0.0, 0.0, 0.45454545454545453, 0.5454545454545454], [0.0, 0.0, 0.0, 0.06666666666666667, 0.5333333333333333, 0.4], [0.0, 0.0, 0.0, 0.25, 0.75, 0.0], [0.0, 0.0, 0.0, 0.0, 0.4, 0.6], [0.0, 0.0, 0.0, 0.05263157894736842, 0.3684210526315789, 0.5789473684210527], [0.0, 0.0, 0.0, 0.0, 0.2, 0.8]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7440555691719055, 0.5246759057044983, 0.17993652820587158, 0.4933359920978546, 0.4933359920978546]"
AEP,Utilities,GRU,multiclass,1,0.14232454124927243,0.1875,-0.0019720392301678658,,,,-0.06643282473893375,0.46153846153846156,0.5555555555555556,0.39473684210526316,0.453125,1198,398,42,64,16,"[[0, 1, 1, 2, 1, 0], [1, 3, 1, 3, 2, 0], [1, 2, 4, 1, 3, 0], [2, 5, 6, 2, 0, 0], [1, 4, 4, 7, 3, 0], [0, 1, 0, 0, 3, 0]]","[[0.0, 0.2, 0.2, 0.4, 0.2, 0.0], [0.1, 0.3, 0.1, 0.3, 0.2, 0.0], [0.09090909090909091, 0.18181818181818182, 0.36363636363636365, 0.09090909090909091, 0.2727272727272727, 0.0], [0.13333333333333333, 0.3333333333333333, 0.4, 0.13333333333333333, 0.0, 0.0], [0.05263157894736842, 0.21052631578947367, 0.21052631578947367, 0.3684210526315789, 0.15789473684210525, 0.0], [0.0, 0.25, 0.0, 0.0, 0.75, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7440555691719055, 0.46199604868888855, 0.5873557925224304, 0.4933359920978546, 0.46199604868888855]"
AGFS,Conglomerates,GRU,multiclass,1,0.05263157894736842,0.1875,0.038695283234119415,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,641,115,42,64,19,"[[0, 0, 0, 0, 0, 15], [0, 0, 0, 0, 0, 12], [0, 0, 0, 0, 0, 12], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 11], [0, 0, 0, 0, 0, 12]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7127156257629395, 0.6813756823539734, 0.4933359920978546, 0.6500356793403625, 0.4933359920978546]"
AMGN,Healthcare,GRU,multiclass,1,0.15322620276180646,0.1875,0.003166687209159136,,,,0.27747458200492947,0.7472527472527473,0.6181818181818182,0.9444444444444444,0.640625,1198,398,42,64,16,"[[1, 0, 0, 5, 0, 0], [0, 1, 5, 9, 0, 1], [0, 0, 0, 5, 0, 1], [0, 0, 1, 8, 0, 0], [0, 0, 1, 13, 0, 3], [0, 0, 0, 8, 0, 2]]","[[0.16666666666666666, 0.0, 0.0, 0.8333333333333334, 0.0, 0.0], [0.0, 0.0625, 0.3125, 0.5625, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.8333333333333334, 0.0, 0.16666666666666666], [0.0, 0.0, 0.1111111111111111, 0.8888888888888888, 0.0, 0.0], [0.0, 0.0, 0.058823529411764705, 0.7647058823529411, 0.0, 0.17647058823529413], [0.0, 0.0, 0.0, 0.8, 0.0, 0.2]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.46199604868888855, 0.4933359920978546, 0.46199604868888855, 0.7440555691719055, 0.7753955125808716]"
AMZN,Services,GRU,multiclass,1,0.10171568627450982,0.15625,-0.00709915068000555,,,,0.16509595107144936,0.34782608695652173,0.7272727272727273,0.22857142857142856,0.53125,1198,398,42,64,16,"[[1, 3, 0, 0, 0, 0], [6, 7, 0, 2, 0, 0], [2, 7, 0, 1, 0, 0], [0, 4, 0, 2, 0, 0], [5, 9, 0, 3, 0, 0], [6, 3, 0, 3, 0, 0]]","[[0.25, 0.75, 0.0, 0.0, 0.0, 0.0], [0.4, 0.4666666666666667, 0.0, 0.13333333333333333, 0.0, 0.0], [0.2, 0.7, 0.0, 0.1, 0.0, 0.0], [0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0], [0.29411764705882354, 0.5294117647058824, 0.0, 0.17647058823529413, 0.0, 0.0], [0.5, 0.25, 0.0, 0.25, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5560158491134644, 0.5873557925224304, 0.5873557925224304, 0.5873557925224304, 0.2426164150238037]"
BA,Industrial Goods,GRU,multiclass,1,0.16994633273703041,0.375,-0.009001055732369423,,,,0.39445217598501997,0.631578947368421,0.8181818181818182,0.5142857142857142,0.671875,1198,398,42,64,17,"[[0, 2, 1, 0, 1, 0], [0, 12, 1, 0, 1, 0], [1, 8, 0, 0, 2, 0], [0, 6, 0, 0, 4, 0], [1, 8, 0, 0, 12, 0], [0, 2, 0, 0, 2, 0]]","[[0.0, 0.5, 0.25, 0.0, 0.25, 0.0], [0.0, 0.8571428571428571, 0.07142857142857142, 0.0, 0.07142857142857142, 0.0], [0.09090909090909091, 0.7272727272727273, 0.0, 0.0, 0.18181818181818182, 0.0], [0.0, 0.6, 0.0, 0.0, 0.4, 0.0], [0.047619047619047616, 0.38095238095238093, 0.0, 0.0, 0.5714285714285714, 0.0], [0.0, 0.5, 0.0, 0.0, 0.5, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.17993652820587158, 0.4306560754776001, 0.46199604868888855, 0.46199604868888855, 0.5246759057044983]"
BABA,Services,GRU,multiclass,1,0.05344129554655871,0.125,0.002310073236003518,,,,0.06702466256013999,0.1111111111111111,0.6666666666666666,0.06060606060606061,0.5,685,159,42,64,16,"[[7, 0, 0, 0, 0, 0], [15, 0, 0, 0, 0, 0], [8, 0, 0, 0, 1, 0], [4, 0, 0, 0, 0, 0], [10, 1, 0, 0, 0, 1], [14, 0, 2, 0, 0, 1]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8888888888888888, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8333333333333334, 0.08333333333333333, 0.0, 0.0, 0.0, 0.08333333333333333], [0.8235294117647058, 0.0, 0.11764705882352941, 0.0, 0.0, 0.058823529411764705]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6813756823539734, 0.5873557925224304, 0.6500356793403625, 0.6500356793403625, 0.5560158491134644]"
BAC,Financial,GRU,multiclass,1,0.1941137566137566,0.234375,0.002604788402095437,,,,0.05372381380046503,0.575,0.4339622641509434,0.8518518518518519,0.46875,1198,398,42,64,16,"[[1, 0, 0, 0, 4, 0], [2, 1, 1, 6, 9, 1], [0, 0, 2, 1, 6, 3], [0, 0, 1, 0, 3, 1], [1, 0, 2, 1, 9, 0], [0, 0, 0, 3, 4, 2]]","[[0.2, 0.0, 0.0, 0.0, 0.8, 0.0], [0.1, 0.05, 0.05, 0.3, 0.45, 0.05], [0.0, 0.0, 0.16666666666666666, 0.08333333333333333, 0.5, 0.25], [0.0, 0.0, 0.2, 0.0, 0.6, 0.2], [0.07692307692307693, 0.0, 0.15384615384615385, 0.07692307692307693, 0.6923076923076923, 0.0], [0.0, 0.0, 0.0, 0.3333333333333333, 0.4444444444444444, 0.2222222222222222]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5246759057044983, 0.8067354559898376, 0.46199604868888855, 0.36797618865966797, 0.30529630184173584]"
BBL,Basic Matierials,GRU,multiclass,1,0.15351167744784766,0.1875,0.011848215013742447,,,,0.07535448433820816,0.5609756097560976,0.40350877192982454,0.92,0.4375,1198,398,42,64,20,"[[1, 0, 2, 3, 3, 11], [0, 1, 0, 1, 3, 7], [0, 0, 1, 1, 1, 4], [0, 0, 0, 0, 1, 0], [0, 0, 0, 2, 3, 7], [0, 0, 2, 3, 1, 6]]","[[0.05, 0.0, 0.1, 0.15, 0.15, 0.55], [0.0, 0.08333333333333333, 0.0, 0.08333333333333333, 0.25, 0.5833333333333334], [0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.16666666666666666, 0.25, 0.5833333333333334], [0.0, 0.0, 0.16666666666666666, 0.25, 0.08333333333333333, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7127156257629395, 0.5873557925224304, 0.5873557925224304, 0.46199604868888855, 0.5560158491134644]"
BCH,Financial,GRU,multiclass,1,0.10853035853035853,0.15625,0.01064283400774002,,,,0.22144693981167293,0.625,0.4716981132075472,0.9259259259259259,0.53125,1198,398,42,64,17,"[[0, 0, 1, 3, 0, 0], [0, 1, 4, 12, 2, 1], [0, 0, 3, 7, 2, 1], [0, 1, 1, 5, 0, 1], [0, 0, 0, 14, 1, 1], [0, 0, 0, 3, 0, 0]]","[[0.0, 0.0, 0.25, 0.75, 0.0, 0.0], [0.0, 0.05, 0.2, 0.6, 0.1, 0.05], [0.0, 0.0, 0.23076923076923078, 0.5384615384615384, 0.15384615384615385, 0.07692307692307693], [0.0, 0.125, 0.125, 0.625, 0.0, 0.125], [0.0, 0.0, 0.0, 0.875, 0.0625, 0.0625], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8067354559898376, 0.7127156257629395, 0.8067354559898376, 0.6500356793403625, 0.30529630184173584]"
BHP,Basic Matierials,GRU,multiclass,1,0.07052631578947367,0.109375,0.01095516700297594,,,,0.04350001325672093,0.5079365079365079,0.45714285714285713,0.5714285714285714,0.515625,1198,398,42,64,18,"[[5, 0, 1, 4, 2, 5], [7, 0, 2, 3, 2, 1], [1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0], [5, 0, 3, 4, 0, 8], [3, 0, 1, 1, 1, 2]]","[[0.29411764705882354, 0.0, 0.058823529411764705, 0.23529411764705882, 0.11764705882352941, 0.29411764705882354], [0.4666666666666667, 0.0, 0.13333333333333333, 0.2, 0.13333333333333333, 0.06666666666666667], [0.25, 0.25, 0.0, 0.25, 0.0, 0.25], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.15, 0.2, 0.0, 0.4], [0.375, 0.0, 0.125, 0.125, 0.125, 0.25]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8067354559898376, 0.7753955125808716, 0.7127156257629395, 0.6186957359313965, 0.5873557925224304]"
BP,Basic Matierials,GRU,multiclass,1,0.09157509157509158,0.15625,0.004460738506168127,,,,0.0,0.5777777777777777,0.40625,1.0,0.40625,1198,398,42,64,16,"[[0, 0, 0, 0, 7, 1], [0, 0, 0, 2, 13, 4], [0, 0, 0, 0, 8, 3], [0, 0, 0, 0, 4, 2], [0, 0, 0, 2, 5, 2], [0, 0, 0, 0, 6, 5]]","[[0.0, 0.0, 0.0, 0.0, 0.875, 0.125], [0.0, 0.0, 0.0, 0.10526315789473684, 0.6842105263157895, 0.21052631578947367], [0.0, 0.0, 0.0, 0.0, 0.7272727272727273, 0.2727272727272727], [0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333], [0.0, 0.0, 0.0, 0.2222222222222222, 0.5555555555555556, 0.2222222222222222], [0.0, 0.0, 0.0, 0.0, 0.5454545454545454, 0.45454545454545453]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6500356793403625, 0.17993652820587158, 0.17993652820587158, 0.17993652820587158, 0.46199604868888855]"
BRK-A,Financial,GRU,multiclass,1,0.0880952380952381,0.140625,0.0016517341136932373,,,,-0.04656656301892605,0.06451612903225806,0.3333333333333333,0.03571428571428571,0.546875,1198,398,42,64,16,"[[2, 0, 0, 0, 0, 0], [15, 6, 0, 1, 0, 0], [7, 3, 1, 1, 0, 0], [6, 5, 0, 0, 0, 0], [8, 2, 2, 1, 0, 0], [2, 2, 0, 0, 0, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.6818181818181818, 0.2727272727272727, 0.0, 0.045454545454545456, 0.0, 0.0], [0.5833333333333334, 0.25, 0.08333333333333333, 0.08333333333333333, 0.0, 0.0], [0.5454545454545454, 0.45454545454545453, 0.0, 0.0, 0.0, 0.0], [0.6153846153846154, 0.15384615384615385, 0.15384615384615385, 0.07692307692307693, 0.0, 0.0], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8067354559898376, 0.7753955125808716, 0.7440555691719055, 0.6813756823539734, 0.3366362452507019]"
BSAC,Financial,GRU,multiclass,1,0.10162037037037037,0.140625,0.01437525823712349,,,,0.050964719143762556,0.5555555555555556,0.45454545454545453,0.7142857142857143,0.5,1198,398,42,64,16,"[[0, 0, 0, 0, 5, 1], [3, 3, 5, 0, 5, 3], [0, 1, 0, 0, 3, 7], [1, 2, 0, 0, 3, 4], [0, 2, 1, 0, 3, 1], [0, 0, 2, 0, 6, 3]]","[[0.0, 0.0, 0.0, 0.0, 0.8333333333333334, 0.16666666666666666], [0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.0, 0.2631578947368421, 0.15789473684210525], [0.0, 0.09090909090909091, 0.0, 0.0, 0.2727272727272727, 0.6363636363636364], [0.1, 0.2, 0.0, 0.0, 0.3, 0.4], [0.0, 0.2857142857142857, 0.14285714285714285, 0.0, 0.42857142857142855, 0.14285714285714285], [0.0, 0.0, 0.18181818181818182, 0.0, 0.5454545454545454, 0.2727272727272727]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8067354559898376, 0.7440555691719055, 0.6500356793403625, 0.7440555691719055, 0.7127156257629395]"
BUD,Consumer Goods,GRU,multiclass,1,0.08424908424908424,0.265625,-0.002336766105145216,,,,0.1259881576697424,0.06060606060606061,1.0,0.03125,0.515625,1198,398,42,64,16,"[[0, 2, 0, 0, 0, 0], [0, 16, 1, 0, 0, 0], [0, 13, 0, 0, 0, 0], [0, 6, 0, 0, 0, 0], [0, 19, 0, 0, 1, 0], [0, 5, 1, 0, 0, 0]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.9411764705882353, 0.058823529411764705, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.95, 0.0, 0.0, 0.05, 0.0], [0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8067354559898376, 0.7440555691719055, 0.7440555691719055, 0.6186957359313965, 0.21127647161483765]"
C,Financial,GRU,multiclass,1,0.017543859649122806,0.046875,-0.0003305202699266374,,,,0.17054221752815663,0.25,0.6666666666666666,0.15384615384615385,0.625,1198,398,42,64,16,"[[3, 0, 0, 0, 0, 0], [22, 0, 1, 0, 0, 0], [9, 1, 0, 0, 2, 0], [5, 0, 0, 0, 1, 0], [10, 1, 0, 0, 0, 0], [5, 1, 0, 2, 1, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9565217391304348, 0.0, 0.043478260869565216, 0.0, 0.0, 0.0], [0.75, 0.08333333333333333, 0.0, 0.0, 0.16666666666666666, 0.0], [0.8333333333333334, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0], [0.9090909090909091, 0.09090909090909091, 0.0, 0.0, 0.0, 0.0], [0.5555555555555556, 0.1111111111111111, 0.0, 0.2222222222222222, 0.1111111111111111, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6813756823539734, 0.7127156257629395, 0.6500356793403625, 0.6186957359313965, 0.5560158491134644]"
