number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
86,-0.026045090435204858,2026-03-03 12:05:16.736115,2026-03-03 12:13:02.904302,0 days 00:07:46.168187,32,0.6000000000000001,0.009422126168582208,15,sector_finbert,256,128,5,0.10098199688385562,0.0,4.334583492975661e-05,0.8,10,20,LSTM,2,15,1.6589728712667413e-06,COMPLETE
54,-0.026073688692844953,2026-03-03 07:44:40.835889,2026-03-03 07:52:19.260585,0 days 00:07:38.424696,32,0.8,0.00825961945123865,10,sector_all_nlp,256,128,5,0.4588103438062753,0.1,3.227862666478188e-06,0.4,7,20,BiLSTM,2,15,0.0007982131853807948,COMPLETE
92,-0.026082628038405994,2026-03-03 12:52:39.897312,2026-03-03 13:00:13.395819,0 days 00:07:33.498507,32,0.7000000000000001,0.006548307518065499,15,sector_unified_emotion,64,128,5,0.343674466463469,0.2,1.4298184887979927e-06,0.8,10,20,LSTM,2,15,1.7464852988379512e-05,COMPLETE
39,-0.0260878354660806,2026-03-03 05:08:00.895013,2026-03-03 05:15:38.611600,0 days 00:07:37.716587,32,0.8,0.009812438604011516,10,sector_all_nlp,128,128,5,1.3995352854290342,0.2,1.7371251619976567e-05,0.4,7,20,BiLSTM,2,5,6.927331382454883e-06,COMPLETE
85,-0.02618170446839427,2026-03-03 11:57:17.573842,2026-03-03 12:05:16.735338,0 days 00:07:59.161496,32,0.6000000000000001,0.007545210620887873,15,sector_finbert,256,128,5,0.4460543728651525,0.1,1.2918487863443782e-05,0.8,10,20,LSTM,2,20,6.4811661153961996e-06,COMPLETE
60,-0.026181932828876545,2026-03-03 08:34:00.777175,2026-03-03 08:41:50.412890,0 days 00:07:49.635715,32,0.8,0.009289628882678258,10,sector_unified_emotion,256,128,5,0.15678645328195756,0.1,9.086707771409219e-06,0.4,10,20,BiLSTM,2,20,0.0002813119141662019,COMPLETE
20,-0.02619840804659755,2026-03-03 02:30:27.115556,2026-03-03 02:37:37.506679,0 days 00:07:10.391123,32,0.8,0.008515132980396639,10,sector_all_nlp,128,128,5,1.353013302140492,0.1,3.1688378204074898e-06,0.4,5,20,BiLSTM,2,10,0.00011697319365149892,COMPLETE
28,-0.026214869750521244,2026-03-03 03:33:40.964251,2026-03-03 03:40:51.873823,0 days 00:07:10.909572,32,0.7000000000000001,0.007231295448027092,10,sector_emotion,128,128,5,0.6818632919273151,0.0,3.3944833478693024e-06,0.4,7,20,BiLSTM,2,10,0.0004920675857590045,COMPLETE
29,-0.02621735267534869,2026-03-03 03:40:51.874628,2026-03-03 03:50:52.739839,0 days 00:10:00.865211,32,0.6000000000000001,0.008154408569199764,20,sector_all_nlp,128,128,5,1.2624945543763355,0.1,2.722255582399776e-06,0.4,5,50,BiLSTM,2,15,9.432541522474476e-06,COMPLETE
30,-0.026219611621338082,2026-03-03 03:50:52.740988,2026-03-03 04:00:52.800458,0 days 00:10:00.059470,32,0.7000000000000001,0.007222510755002147,20,sector_all_nlp,64,128,5,1.4033987928294083,0.1,1.2123118030358921e-06,0.4,10,50,BiLSTM,2,20,6.306109845111142e-05,COMPLETE
63,-0.02622149023329693,2026-03-03 08:57:32.015942,2026-03-03 09:05:29.154275,0 days 00:07:57.138333,32,0.8,0.007409392568352971,10,sector_unified_emotion,256,128,5,0.3486435461469698,0.1,2.2286150599050905e-06,0.8,10,20,BiLSTM,2,20,3.546569960706186e-05,COMPLETE
75,-0.026223121413379367,2026-03-03 10:37:32.900004,2026-03-03 10:45:14.451824,0 days 00:07:41.551820,32,0.7000000000000001,0.009773139106897092,10,sector_unified_emotion,256,64,5,0.40961875887914445,0.1,4.276245752819899e-06,0.8,10,20,BiLSTM,2,20,9.77278287727848e-06,COMPLETE
81,-0.0262245788041129,2026-03-03 11:26:51.150237,2026-03-03 11:34:27.198060,0 days 00:07:36.047823,32,0.7000000000000001,0.008490166580555061,10,sector,256,128,5,0.13465676347181832,0.2,5.1690806343636855e-06,0.8,10,50,BiLSTM,2,20,2.0313525060272516e-05,COMPLETE
26,-0.02622836617840497,2026-03-03 03:19:08.523405,2026-03-03 03:26:21.242342,0 days 00:07:12.718937,32,0.6000000000000001,0.008545835858881759,10,sector_emotion,128,32,5,0.706760600120451,0.0,4.668319139237502e-06,0.4,5,20,BiLSTM,2,10,5.5857406265528025e-05,COMPLETE
42,-0.026232718210625592,2026-03-03 05:32:57.195899,2026-03-03 05:40:29.739266,0 days 00:07:32.543367,32,0.8,0.009250606030052259,10,sector_all_nlp,64,128,5,1.7255826068827116,0.30000000000000004,1.618870164680556e-05,0.4,7,20,BiLSTM,2,5,3.236009403183308e-05,COMPLETE
50,-0.026234094016581905,2026-03-03 07:09:24.924417,2026-03-03 07:16:36.217646,0 days 00:07:11.293229,32,0.6000000000000001,0.0070795567930114125,10,sector_unified_emotion,128,64,5,0.15431623525263305,0.1,7.1988573272395855e-06,0.4,7,30,BiLSTM,2,10,0.0005335175930134101,COMPLETE
80,-0.026249585199002404,2026-03-03 11:20:43.814285,2026-03-03 11:26:51.149475,0 days 00:06:07.335190,64,0.7000000000000001,0.006775728615160624,10,sector,128,128,5,1.6221114380338941,0.1,2.6035340374764982e-06,0.4,5,20,BiLSTM,2,15,1.533522085234713e-05,COMPLETE
25,-0.026257796276441252,2026-03-03 03:11:34.886112,2026-03-03 03:19:08.522632,0 days 00:07:33.636520,32,0.6000000000000001,0.008858393561611902,10,sector_emotion,128,128,5,0.7457969075771432,0.0,8.573679684379589e-06,0.4,5,20,BiLSTM,2,10,0.0003211968260320225,COMPLETE
